Sensor_name,Dongles,MacID,Status
SAMOSA_0014,SAMOSA1,40:f5:20:1e:58:73,Done
SAMOSA_0019,SAMOSA1,40:f5:20:1d:25:c2,Done
SAMOSA_0033,SAMOSA2,10:52:1c:42:40:b4,Done
SAMOSA_0050,SAMOSA1,10:52:1c:41:66:a8,Done
SAMOSA_0052,SAMOSA1,10:52:1c:41:f0:cc,Done
SAMOSA_0055,SAMOSA2,10:52:1c:41:9f:a2,Done
SAMOSA_0060,SAMOSA1,10:52:1c:42:1d:de,Done
SAMOSA_0080,SAMOSA2,40:f5:20:1d:69:a5,Done
SAMOSA_0102,SAMOSA2,40:f5:20:16:a6:4e,Done
SAMOSA_0104,SAMOSA2,10:52:1c:42:41:62,Done
SAMOSA_0105,SAMOSA8,Ec:fa:bc:d3:3d:95,Done
SAMOSA_0106,SAMOSA8,10:52:1c:41:ec:b,Done
SAMOSA_0107,SAMOSA8,10:52:1c:41:a9:e0,Done
SAMOSA_0108,SAMOSA8,10:52:1c:41:5b:9a,Done
SAMOSA_0109,SAMOSA8,Ec:fa:bc:d3:3d:33,Done
SAMOSA_0110,SAMOSA15,10:52:1c:42:42:65,Done
SAMOSA_0111,SAMOSA15,10:52:1c:41:9b:18,Done
SAMOSA_0112,SAMOSA15,10:52:1c:41:71:30,Done
SAMOSA_0113,SAMOSA15,10:52:1c:41:af:2e,Done
SAMOSA_0114,SAMOSA15,Ec:fa:bc:d3:3e:ee,Done
SAMOSA_0116,SAMOSA16,10:52:1c:41:47:12,Done
SAMOSA_0118,SAMOSA16,10:52:1c:41:a8:2b,Done
SAMOSA_0119,SAMOSA16,A4:cf:12:fd:ff:8,Done
SAMOSA_0120,SAMOSA16,10:52:1c:44:f2:4a,Done
SAMOSA_0131,SAMOSA16,A4:cf:12:fa:2:e0,Done
SAMOSA_0142,SAMOSA16,10:52:1c:4d:cc:18,Done
