SensorName,WiFi Name
SAMOSA_0001,Samosa-1
SAMOSA_0002,Samosa-1
SAMOSA_0003,Samosa-1
SAMOSA_0004,Samosa-1
SAMOSA_0005,Samosa-1
SAMOSA_0006,Samosa-1
SAMOSA_0007,Samosa-1
SAMOSA_0008,Samosa-1
SAMOSA_0009,Samosa-1
SAMOSA_0010,Samosa-1
SAMOSA_0011,Samosa-11
SAMOSA_0012,Samosa-11
SAMOSA_0013,Samosa-11
SAMOSA_0014,Samosa-11
SAMOSA_0015,Samosa-11
SAMOSA_0016,Samosa-11
SAMOSA_0017,Samosa-11
SAMOSA_0018,Samosa-11
SAMOSA_0019,Samosa-11
SAMOSA_0020,Samosa-11
SAMOSA_0021,Samosa-12
SAMOSA_0022,Samosa-12
SAMOSA_0023,Samosa-12
SAMOSA_0024,Samosa-12
SAMOSA_0025,
SAMOSA_0026,Samosa-2
SAMOSA_0027,Samosa-2
SAMOSA_0028,Samosa-2
SAMOSA_0029,samosa-2
SAMOSA_0030,Samosa-2
SAMOSA_0031,Samosa-2
SAMOSA_0032,Samosa-2
SAMOSA_0033,Samosa-2
SAMOSA_0034,samosa-2
SAMOSA_0035,Samosa-3
SAMOSA_0036,Samosa-3
SAMOSA_0037,Samosa-3
SAMOSA_0038,Samosa-3
SAMOSA_0039,Samosa-3
SAMOSA_0040,Samosa-3
SAMOSA_0041,Samosa-3
SAMOSA_0042,Samosa-3
SAMOSA_0043,Samosa-3
SAMOSA_0044,Samosa-3
SAMOSA_0045,Samosa-4
SAMOSA_0046,Samosa-4
SAMOSA_0047,Samosa-4
SAMOSA_0048,Samosa-4
SAMOSA_0049,Samosa-4
SAMOSA_0050,Samosa-4
SAMOSA_0051,Samosa-4
SAMOSA_0052,Samosa-4
SAMOSA_0053,Samosa-4
SAMOSA_0054,Samosa-4
SAMOSA_0055,Samosa-6
SAMOSA_0056,Samosa-6
SAMOSA_0057,Samosa-6
SAMOSA_0058,Samosa-6
SAMOSA_0059,Samosa-6
SAMOSA_0060,Samosa-6
SAMOSA_0061,Samosa-6
SAMOSA_0062,Samosa-6
SAMOSA_0063,Samosa-6
SAMOSA_0064,Samosa-6
SAMOSA_0065,Samosa-7
SAMOSA_0066,Samosa-7
SAMOSA_0067,Samosa-7
SAMOSA_0068,Samosa-7
SAMOSA_0069,Samosa-7
SAMOSA_0070,Samosa-7
SAMOSA_0071,Samosa-7
SAMOSA_0072,Samosa-7
SAMOSA_0073,Samosa-7
SAMOSA_0074,Samosa-7
SAMOSA_0075,Samosa-8
SAMOSA_0076,Samosa-8
SAMOSA_0077,Samosa-8
SAMOSA_0078,Samosa-8
SAMOSA_0079,Samosa-8
SAMOSA_0080,Samosa-8
SAMOSA_0081,Samosa-8
SAMOSA_0082,Samosa-8
SAMOSA_0083,Samosa-8
SAMOSA_0084,Samosa-8
SAMOSA_0085,Samosa-9
SAMOSA_0086,Samosa-9
SAMOSA_0087,Samosa-9
SAMOSA_0088,Samosa-9
SAMOSA_0089,Samosa-9
SAMOSA_0090,Samosa-9
SAMOSA_0091,Samosa-9
SAMOSA_0092,Samosa-9
SAMOSA_0093,Samosa-9
SAMOSA_0094,Samosa-9
SAMOSA_0095,Samosa-12
SAMOSA_0096,Samosa-12
SAMOSA_0097,Samosa-12
SAMOSA_0098,Samosa-12
SAMOSA_0099,Samosa-12
SAMOSA_0100,Samosa-12
SAMOSA_0101,Samosa-13
SAMOSA_0102,Samosa-13
SAMOSA_0103,Samosa-13
SAMOSA_0104,Samosa-13
SAMOSA_0105,Samosa-13
SAMOSA_0106,Samosa-13
SAMOSA_0107,Samosa-13
SAMOSA_0108,Samosa-13
SAMOSA_0109,Samosa-13
SAMOSA_0110,Samosa-13
SAMOSA_0111,Samosa-14
SAMOSA_0112,Samosa-14
SAMOSA_0113,Samosa-14
SAMOSA_0114,Samosa-14
SAMOSA_0115,Samosa-14
SAMOSA_0116,Samosa-14
SAMOSA_0117,Samosa-14
SAMOSA_0118,Samosa-14
SAMOSA_0119,Samosa-14
SAMOSA_0120,Samosa-14
SAMOSA_0121,Samosa-15
SAMOSA_0122,Samosa-15
SAMOSA_0123,Samosa-15
SAMOSA_0124,Samosa-15
SAMOSA_0125,Samosa-15
SAMOSA_0126,Samosa-15
SAMOSA_0127,Samosa-15
SAMOSA_0128,Samosa-15
SAMOSA_0129,Samosa-15
SAMOSA_0130,Samosa-15
SAMOSA_0131,Samosa-16
SAMOSA_0132,Samosa-16
SAMOSA_0133,Samosa-16
SAMOSA_0134,Samosa-16
SAMOSA_0135,Samosa-16
SAMOSA_0136,Samosa-16
SAMOSA_0137,Samosa-16
SAMOSA_0138,Samosa-16
SAMOSA_0139,Samosa-16
SAMOSA_0140,Samosa-16
SAMOSA_0141,Samosa-17
SAMOSA_0142,Samosa-17
SAMOSA_0143,Samosa-17
SAMOSA_0144,Samosa-17
SAMOSA_0145,Samosa-17
SAMOSA_0146,Samosa-17
SAMOSA_0147,Samosa-17
SAMOSA_0148,Samosa-17
SAMOSA_0149,Samosa-17
SAMOSA_0150,Samosa-17
SAMOSA_0151,Samosa-18
SAMOSA_0152,Samosa-18
SAMOSA_0153,Samosa-18
SAMOSA_0154,Samosa-18
SAMOSA_0155,Samosa-18
SAMOSA_0156,Samosa-18
SAMOSA_0157,Samosa-18
SAMOSA_0158,Samosa-18
SAMOSA_0159,Samosa-18
SAMOSA_0160,Samosa-18
SAMOSA_0161,Samosa-19
SAMOSA_0162,Samosa-19
SAMOSA_0163,Samosa-19
SAMOSA_0164,Samosa-19
SAMOSA_0165,Samosa-19
SAMOSA_0166,Samosa-19
SAMOSA_0167,Samosa-19
SAMOSA_0168,Samosa-19
SAMOSA_0169,
SAMOSA_0170,
SAMOSA_0171,Samosa-20
SAMOSA_0172,Samosa-20
SAMOSA_0173,Samosa-20
SAMOSA_0174,Samosa-20
